Titre;Rang;Date;Technique;Hauteur;Largeur;Collection;Crédit_Photographique;Remarques
;1;1971;huile sur toile;65;65;;;
Pianiste;2;1971;huile sur panneau;50;54;;;
Homme blessé;3;1971;huile sur aggloméré;67;50;;;
;4;1975;graphite sur papier;50;39.8;;;
;5;1975;;135;95;collection particulière, Maisons-Alfort;H.R.;
Statue et homme blessé;6;1975;huile sur contreplaqué;80;120;collection particulière, Maisons-Alfort;H.R.;
Le rêve;7;1978;huile sur panneau;50;20;;;
Le rêve;8;1978;huile sur panneau;100;40;;;
La ville abandonnée;9;1979;huile sur panneau;25;35;;;
Paysage;10;1979;huile sur panneau;30;35;;;
peintures murales;11;1979;peinture vinylique sur plaques de plâtre;476;692;Andelot-en-Montagne (Jura), Salle paroissiale;;Photo prise en mai 2016. Cette œuvre n’est plus visible. Elle est à présent occultée par une cloison murale construite en 2017
Statue et personnages;12;1980;huile sur panneau;20;25;;;
La ville abandonnée;13;1980;huile sur panneau;80;100;;;
Étude pour un personnage devant un oiseau;14;1981;huile sur contreplaqué;21;25;;;
Deux géants sur une plate-forme;15;1982;huile sur aggloméré;102;122;;;
Personnage rouge enlevant son masque;16;1982;huile sur panneau;135;82;;;
;17;1982 ou 1986;huile sur bois;48.5;42.7;;;
Personnage sous les décombres;18;1983;;0;0;;;
Combat de deux personnages;19;1984;huile sur contreplaqué;70;100;;;
Deux figures;20;1983;huile sur aggloméré;44;31;;;
Deux figures;21;1984;huile sur aggloméré;125;90;;;
Homme debout, statue et homme couché;22;1984;huile sur aggloméré;140.2;70;;;
;23;1985;graphite sur papier;0;0;;;
Personnage vautour réclamant sa proie;24;1985;huile sur aggloméré;102.6;102.6;;;
Portrait d'une comédienne dans un théâtre;25;1986;huile sur contreplaqué;110;90;;;
Deux personnages dans une boîte;26;1986;huile sur contreplaqué;80;80;;;
Deux personnages dans une boîte;27;1986;huile sur contreplaqué;80;80;;;
;28;vers 1986;huile sur contreplaqué;40;40;;;
Études pour un homme couché(et autres personnages non définis);29;1987;gouache;40;30;;;
Études pour un personnage couché;30;1987;gouache;40;30;;;
Personnages tombant (d'une plate-forme) dans un carré;31;1988;gouache;40;30;;;
Statue penchée au-dessus d'un homme couché;32;1988;graphite et gouache;0;0;;;
Statue penchée;33;1988;huile sur panneau ovale;59;48;;;
Statue et personnage près d'une fenêtre N.3;34;1988;huile sur toile;116;89;;;
Statue et personnage près d'une fenêtre;35;1988;huile sur toile;116;89;;;
Chute de personnages;36;1989;huile sur toile;100;100;;;
Chute de personnages;37;1989;huile sur toile;100;100;;;
Personnages verticaux sur une demie croix;38;1990;huile sur aggloméré;110;90;;;
Personnages obliques sur une demie croix;39;1990;huile sur aggloméré;110;90;;;
Deux personnages sur une demie croix 3;40;1990;huile sur aggloméré;89;90;;;
Deux personnages sur une demie croix 2;41;1990;huile sur aggloméré;89;90;;;
;42;1991;;0;35;collection particulière, Maisons-Alfort;H.R.;
;43;1991;;0;90;collection particulière, Maisons-Alfort;H.R.;
Dignitaire et tête de statue 1;44;1991;huile sur contreplaqué;100;80;;;
Dignitaire et tête de statue 2;45;1991;huile sur contreplaqué;100;80;;;
Dignitaire et tête de statue 3;46;1991;huile sur contreplaqué;100;80;;;
Dignitaire et tête de statue B;47;1991;huile sur carton sur contreplaqué;65;50;;;
;48;1992;huile sur contreplaqué;100;122;;;
Bustes de personnages combattant;49;1992;huile sur contreplaqué;100;122;;;
Bustes de personnages combattant;50;1992;huile sur contreplaqué;50;61;;;
;51;vers 1991;huile sur carton;65;50;;;
